"name","location","postcode","sector","latitude","longitude","Scores of 40+","Median Score","Satisfactory completions of VCE","Satisfactory completions of VET"
"Diamond Valley College","Diamond Creek VIC, Melbourne Northern Suburbs","3089","Government","","","1%","25","100%","76%"
"Dimboola Memorial Secondary College","Dimboola VIC, Central Highlands-Wimmera","3414","Government","","","5%","29","91%","92%"
"Drouin Secondary College","Drouin VIC, Gippsland","3818","Government",-37.892195547244356,144.9755859375,"1%","25","98%","100%"
"East Doncaster Secondary College","Doncaster East VIC, Melbourne Eastern Suburbs","3109","Government","","","13%","32","99%","75%"
"Edenbrook Secondary College","Pakenham VIC, Melbourne Southern Suburbs & Western Port","3810","Government","","","","","",""
"Elevation Secondary College","Craigburn VIC, Melbourne Northern Suburbs","3064","Government",-37.56199695314352,144.854736328125,"9%","30","","66%"
"Emerald Secondary College","Emerald VIC, Melbourne Eastern Suburbs","3782","Government","","","2%","28","100%","90%"
"Emmanuel College","Altona North VIC, Melbourne Western Suburbs","3025","Catholic",-37.83148014503288,144.8382568359375,"5%","28","99%","97%"
"Emmanuel College","Warrnambool VIC, Barwon-South Western","3280","Catholic","","","6%","30","98%","88%"
"F.C.J College Benalla","Benalla VIC, Goulburn-North Eastern","3672","Catholic","","","1%","28","100%","48%"
"Footscray High School","Footscray VIC, Melbourne Western Suburbs","3011","Government",-37.77505678240507,144.84375,"4%","29","99%","67%"
"Forest Hill College","Burwood East VIC, Melbourne Eastern Suburbs","3151","Government","","","2%","29","94%","87%"
"Fountain Gate Secondary College","Fountain Gate VIC, Melbourne Southern Suburbs & Western Port","3805","Government","","","2%","28","97%","85%"
"Gisborne Secondary College","Gisborne VIC, Loddon-Mallee","3437","Government","","","1%","27","100%","61%"
"Grovedale College","Grovedale VIC, Barwon-South Western","3216","Government",-38.169114135560854,144.2724609375,"1%","25","98%","91%"
"Holmes Secondary College","Melbourne VIC, Melbourne Southern Suburbs & Western Port","3000","Independent",-37.81412370160446,144.9700927734375,"","28","96%","90%"
